File BR50042, IAD, Is already downloaded: Skipping
File BR50194, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50199, YES, Downloaded without issue through link1
File BR50202, no, Link 1 Error: ('[WinError 10054] En eksisterende forbindelse blev tvangsafbrudt af en ekstern vært',). Link 2 Error: No data found: Skipping
File BR50205, YES, Downloaded without issue through link1
File BR50203, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50207, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: 3: Not a PDF: Deleting
File BR50208, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50209, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50210, YES, Downloaded without issue through link1
File BR50204, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: 3: Not a PDF: Deleting
File BR50212, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50213, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50214, no, Link 1 Error: ('HTTP Error 404: ',). Link 2 Error: No data found: Skipping
File BR50215, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 404: Not Found
File BR50216, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50206, YES, Downloaded without issue through link1
File BR50218, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50217, YES, Downloaded without issue through link1
File BR50219, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50221, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50220, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50223, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50224, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50225, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50222, YES, Downloaded without issue through link1
File BR50226, YES, Downloaded without issue through link1
File BR50228, YES, Downloaded without issue through link1
File BR50229, YES, Downloaded without issue through link1
File BR50227, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50230, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50232, no, Link 1 Error: [WinError 10054] En eksisterende forbindelse blev tvangsafbrudt af en ekstern vært, Link 2 Error: [WinError 10054] En eksisterende forbindelse blev tvangsafbrudt af en ekstern vært
File BR50233, YES, Downloaded without issue through link1
File BR50234, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50235, no, Link 1 Error: ('HTTP Error 404: 404',). Link 2 Error: No data found: Skipping
File BR50236, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50211, no, Link 1 Error: ('<urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>',). Link 2 Error: No data found: Skipping
File BR50238, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50237, YES, Downloaded without issue through link1
